Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1874 - February 4,Manchester,Political,"Election riot in Stalybridge. Free fights between parties in Dukinfield. Attacked the Constitutional Rooms, Oxford Road, Dukinfield. Then mob came to assist the Tories and fight on Oxford Road",0,0,0,Rival political parties,Public,People,No,No,Stalybridge and Dukinfield. Oxford Road and Astley Street,"Oxford Road, Dukinfield, UK",53.47681,-2.077511,Committee Room,,Meeting,Meeting hall,No,Hours,1874-02-04,Morning 8am,Y,1874-02-01,1874,February,Wednesday,Election
1876 - February 21-15,Manchester,Economic,ATtack on police. Turn out intimidating new workers.,0,0,0,Knobsticks and police,Public,People,No,No,"GLasshouse street, Salford","Regents Road Salford, Manchester, UK",53.476729,-2.269477,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",Yes,Days,1876-02-21,All day,Y,1876-02,1876,February,Monday,No
1876 - July 16,Manchester,Misc (scuttlers),Tit for tat. Fighting. Stone throwing. Attacking house where they were sheltering.,0,0,0,Rival gangs,Both,Both,When sheltering in random house,No,"Spinning fields, Deansgate. St Paul's Square","Spinning fields, Manchester, UK",53.4795419,-2.2506578,"Street, homes",,Street,Streets and fields,No,Hours,1876-07-16,Evening,N,1876-07,1876,July,Sunday,No
1876 - July 12,Manchester,Identity,Parading with colours and bands. Fighting. UNrest in evening as Irish paraded trying to call out Orange. Fighting and stoning the police.,0,0,0,Orange and police,Public,People,No,No,Pendleton and Gaythorn. ,"Gaythorn, Manchester, UK",53.4822604,-2.2649364,Street (procession),,Street (procession),Streets and fields,No,Hours,1876-07-12,Afternoon,Y,1876-07,1876,July,Wednesday,12th July
1878 - May 14,Manchester,Economic,Strike. Demanding 'blackmail' from the pubs. Police intervene are attacked. ,0,1,0,"Police, pubs",Public,Both,No,No,"Accrington, Darwen and Ashton New Road","Ashton New Road, Manchester, UK",53.4826216,-2.1906064,Street,,Street,Streets and fields,Yes,Days,1878-05-14,Night,N,1878-05,1878,May,Tuesday,No
1879 - May 10,Manchester,Misc (scuttlers),"Fighting with sticks, belts and brickbats. ",0,0,0,Rival gangs,Public,People,No,No,"Cork street, Salford","Cork street Salford, Manchester, UK",53.487744,-2.290488,Street,,Street,Streets and fields,No,Minutes,1879-05-10,Night,N,1879-05,1879,May,Saturday,No
1880 - March 31,Manchester,Political,Election riot in Stockport. crowd of colliers and irishmen armed with heavy sticks gathered outside Conservative Club and made disturbance and large police detachment cleared the streets,0,0,0,Conservative Club,Public,Property,No,No,Stockport Conservative Club,"Stockport, Manchester, UK",53.4106316,-2.1575332,Conservative Club,,Meeting Hall,Meeting hall,No,Minutes,1880-03-31,4:00 pm,Y,1880-03-01,1880,March,Wednesday,Election
1880 - September 27,Manchester,Misc (scuttlers),"Fighting with sticks and belts, shot fired. Throwing stones. ",0,0,0,Rival gangs,Public,People,No,No,"Varley street, Miles PLatting.","Varley street, Manchester, UK",53.4906378,-2.2129675,Street,,Street,Streets and fields,No,Hours,1880-09-27,Evening,N,1880-09,1880,September,Monday,No
1882 - June 8 & 10,Manchester,Misc (soldiers / anti-police),Soldiers fighting police (again). Crowd joined in against the police.,0,0,0,Police,Public,People,No,No,"Deansgate, Liverpool Road.","Deansgate, Manchester, UK",53.479268,-2.2489946,Street,,Street,Streets and fields,No,Days,1882-06-08,Evening,N,1882-06,1882,June,Thursday,No
1882 - August 9 & 10,Manchester,Misc (Salvation Army),"Attacks on Salvation army marches. Stone throwing. Night after night, unrest across country",0,0,0,Salvation Army,Public,People,No,No,"Stockport, UK","Stockport, Manchester, UK",53.4106316,-2.1575332,Streets,,Street,Streets and fields,No,Days,NA,Night,N,1882-08,1882,August,NA,No
1883 - March 9,Manchester,Identity / Misc,Disorderly scenes at Vestry Meeting. Riot and assaulting police.,0,0,0,Police and Ritualists,Public,People,No,No,Miles Platting and Eccles.,"Miles Platting, Manchester, UK",53.490965,-2.215293,Church,St Johnâ€™s Church,Church,Church,No,Minutes,1883-03-09,Day time,Y,1883-03,1883,March,Friday,No
1883 - September 2,Manchester,Misc (anti-police),Attempted arrest leads to fighting with the police,1,0,0,Police,Public,People,No,No,Ashton New Road,"Ashton New Road, Manchester, UK",53.4826216,-2.1906064,Street,,Street,Streets and fields,No,Hours,1883-09-02,Evening (11pm),N,1883-09,1883,September,Sunday,No
1884 - October 12,Manchester,Misc (scuttlers),Arrange fight with all sorts of weapons. Marched to the site for fight,0,0,0,Rival gangs,Public,People,No,No,"Platt Church, Rusholme","Platt Church Rusholme, Manchester, UK",53.4501735,-2.2255174,Church,Platt Church,Church,Church,No,Minutes,1884-10-12,Afternoon (3pm),Y,1884-10,1884,October,Sunday,No
1884 - October 19,Manchester,Political,Reform meeting attacked by local Land League trying to disrupt the meeting,0,0,0,Reformists,Public,People,No,No,Gorton,"Gorton, Manchester, UK",53.462873,-2.177212,Open air meeting,,Open air meeting,Streets and fields,No,Minutes,1884-10-19,??,,1884-10,1884,October,Sunday,No
1884 - December,Manchester,Misc (scuttlers),Fighting. Pursued them into a shop,1,0,0,Rival gangs,Public,People,No,No,"Gorton Lane, Gorton","Gorton Lane Gorton, Manchester, UK",53.4676321,-2.1833064,Street,,Street,Streets and fields,No,Hours,NA,Afternoon (5pm),Y,1884-12,1884,December,NA,No
1884 - December 6,Manchester,Misc (scuttlers),Beat passerby,0,0,0,Passerby,Public,People,No,No,Ancoats,"Ancoats, Manchester, UK",53.485371,-2.2281397,Street,,Street,Streets and fields,No,Hours,1884-12-06,Night,N,1884-12,1884,December,Saturday,No
1884 - December 7,Manchester,Misc (Salvation Army),Salvation Army march attacked with stones etc. Then hand to hand fighting.,0,0,0,Salvation Army,Public,People,No,No,Kirby Street and New Islington,"Kirby Street (Old Mill Street), Manchester, UK",53.482425,-2.22117,Street (procession),,Street (procession),Streets and fields,No,Hours,1884-12-07,Afternoon,Y,1884-12,1884,December,Sunday,No
1885 - December 1,Manchester,Identity / Politics,Stone throwing at meeting of Irish electors and Mr O'Connor's cab is chased.,0,0,0,Specific individual,Public,People,No,Candidates cab,Hyde,"Hyde, Manchester, UK",53.452977,-2.082786,Meeting,,Meeting,Meeting hall,No,Hours,1885-12-01,Evening,N,1885-12,1885,December,Tuesday,Election
1886 - February 28,Manchester,Political,"Socialist meeting ends in unrest. Attacks on speakers, fountains wrecked. (Comedic violence)",0,0,0,"Speakers, rest of crowd",Public,Both,No,No,New Cross,"New Cross, Manchester, UK",53.484599,-2.233182,Open air meeting,,Open air meeting,Streets and fields,No,Hours,1886-02-28,Afternoon (2.30pm),Y,1886-02,1886,February,Sunday,No
1886 - June 12,Manchester,Misc,All sorts of missiles thrown out of house at passersby. Indiscriminate,0,0,0,Any passerby,Public,People,No,No,"Indigo street, Ancoats","Indigo street, Ancoats, Manchester, UK",NA,NA,Street,,Street,Streets and fields,No,Hours,1886-06-12,Night,N,1886-06,1886,June,Saturday,No
1886 - June ,Manchester,Misc (scuttlers),Scuttler attack police in attempt to rescue prisoner,1,0,0,Police,Public,People,No,No,New Ashton Road,"New Ashton Road, Manchester, UK",53.4826216,-2.1906064,Street,,Street,Streets and fields,No,Hours,NA,Night (11.10pm),N,1886-06,1886,June,NA,No
1888 - March 27,Manchester,Misc (scuttlers),"Scuttlers annoying passersby and tradesmen, police intervene and are attacked",0,0,0,Police,Public,People,No,No,Gorton,"Gorton, Manchester, UK",53.462873,-2.177212,Street,,Street,Streets and fields,No,Hours,1888-03-27,??,,1888-03,1888,March,Tuesday,No
1888 - June 2,Manchester,Misc (scuttlers),Scuttling fight ends in stabbing,0,0,0,Rival gangs,Public,People,No,No,??,"??, Manchester, UK",NA,NA,Street,,Street,Streets and fields,No,Hours,1888-06-02,??,,1888-06,1888,June,Saturday,No
1888 - July 8,Manchester,Identity,Orange parade attacked with stones and vicious mob (armed). ,0,0,0,Orange parade,Public,People,No,No,Canal Street,"Canal Street, Manchester, UK",53.477225,-2.2365511,Street (procession),,Street (procession),Streets and fields,No,Hours,1888-07-08,Afternoon (3pm),Y,1888-07,1888,July,Sunday,12th July
1889 - January (Saturday),Manchester,Misc (scuttlers),"Gang rampaged through Chapel Street, Salford, after pub closing time on a Saturday night, as one of them struck out at passersby he was heard to say ""he could beat any man in Salford""",0,0,0,Passersby,Public,People,No,No,"Chapel Street, Salford","Chapel Street, Salford, Manchester, UK",53.4837027,-2.2539944,Street,,Street,Streets and fields,No,Hours,NA,Night,N,1889-01,1889,January,Saturday,No
1890 - March 17,Manchester,Misc (scuttlers),"Scuttlers abusing passersby, policeman arrives and is attacked. Flinging stones at houses (indiscriminately). Irish on ST Patrick's Day.",0,0,0,Police and houses,Both,Both,No,No,Gorton Lane,"Gorton Lane, Manchester, UK",53.4676321,-2.1833064,Street,,Street,Streets and fields,No,Hours,1890-03-17,Night,N,1890-03,1890,March,Monday,St Patrickâ€™s Day??
1890 - June (regulary clashes,Manchester,Misc (scuttlers),"In June 1890, for example, the Salford police told how the Hope Street and Ordsall Lane gangs had clashed once or twice a week over a period of eighteen months in which they had ""carried on a dangerous sort of guerilla warfare,"" armed with sticks, belts and knives. The feud resulted in a series of police court cases and two trials. Hostility between the two gangs was perpetuated as both attempted to salvage their honour by avenging woundings inflicted by their adversaries.
 ",0,0,0,Rival scuttling gangs,Public,People,No,No,Hope Street and Ordsall Lane,"Hope Street Salford, Manchester, UK",53.481195,-2.271412,Street,,Street,Streets and fields,No,Months,NA,??,,1890-06,1890,June,NA,No
1890 - October 20,Manchester,Misc (scuttlers),"Gang from Bradford made series of raids upon Gorton, leading to fights with bricks buckled belts, culminating in a ""pitched battle"".",0,0,0,Rival scuttling gangs,Public,People,No,No,Gorton,"Ordsall Lane Salford, Manchester, UK",53.47217,-2.271304,Street,,Street,Streets and fields,No,Hours,1890-10-20,??,,1890-10,1890,October,Monday,No
1891 - August 4,Manchester,Economic,Attack on imported strike breakers as they try to get in car home at end of day. Stove-grate strike. Arrest of man and boy causes attack on police,0,0,0,Knobsticks and police,Public,People,No,No,Oppenshaw,"Gorton, Manchester, UK",53.462873,-2.177212,Street,,Street,Streets and fields,Yes,Hours,1891-08-04,Afternoon/evening (5.30pm),Y,1891-08,1891,August,Tuesday,No
1892 - April,Manchester,Economic,"Attacks on scabs during cotton strike in Stalybridge, windows smashed at night",0,0,0,Homes of non-unionists,Both,Both,Yes,Scabs,Stalybridge,"Stalybridge, Manchester, UK",53.483806,-2.0500759,Factory,,Factory,"Workplaces (factory, workshops, docks etc)",Yes,Days,NA,Night,N,1892-04,1892,April,NA,NA
1895 - October,Manchester,Economic,Strikebreakers being escorted from the works to Millbrook Railway Station on their way to Manchester. Daily seige of the works to prevent any work being done. Throwing stones at the police. Crowd of about 400 people,0,0,0,Scabs and factories and police,Public,People,No,Scabs,Millbrook Stalybridge,"Millbrook, Stalybridge, UK",53.492482,-2.033246,Factory,,Factory,"Workplaces (factory, workshops, docks etc)",Yes,Days,NA,Morning,Y,1895-10,1895,October,NA,NA
1904 - September,Manchester,Economic,Strike riots. Attacks on factories and houses of non-unionists. Stoning the police when the scabs arrive. Women strike breakers attacked in the streets. Pepper thrown in their eyes,0,0,0,"Scabs, homes of scabs, police",Both,Both,Yes,Scabs,Ashton,"Ashton-under-Lyne, UK",53.487781,-2.095837,Stations,,Train stations,"Workplaces (factory, workshops, docks etc)",Yes,Days,NA,Night and day,Y,1904-09,1904,September,NA,NA
1905 - July 31,Manchester,Economic / Political,"Unemployed fighting with police. They try to obstruct traffic and police intervene, police then attacked.  Mass meetign",0,0,0,Police,Public,People,No,No,"Albert Square, Market street","Oppenshaw, Manchester, UK",53.476381,-2.174643,Factories,,Factories,"Workplaces (factory, workshops, docks etc)",No,Hours,31/07/1905,Afternoon (1pm),Y,1905-07,1905,July,Monday,No
1908 - June,Manchester,Misc (anti-police),Police officers had shower of briks and stones thrown at them,0,0,0,Police,Public,People,No,No,??,"Albert Square, Manchester, UK",53.4795847,-2.2455373,Open air meeting,Albert Square,Open air meeting,Streets and fields,No,Minutes,NA,??,,1908-06,1908,June,NA,No
1908 - September 22,Manchester,Economic / Political,"Unemployed attempt to rush workhouse. More horseplay than violence. Police stop them, no blows thrown",0,0,0,Workhouse,Public,Both,No,No,New Bridge Street Workhouse,"New Bridge Street, Manchester, UK",53.4887838,-2.2440404,Work house,,Work house,Work house,No,Hours,22/09/1908,??,,1908-09,1908,September,Tuesday,No
1908 - September 25,Manchester,Economic / Political,"Unemployed meeting, then march to Town Hall, police baton charge (unprovoked).",0,0,0,Unemployed and police,Public,People,No,No,"Market street, Albert Square","Market street, Manchester, UK",53.4825324,-2.2414366,Street,,Street,Streets and fields,No,Hours,25/09/1908,Evening (7.30pm),N,1908-09,1908,September,Friday,No
1909 - December,Manchester,Misc / Economic,Riot in Chorlton Workhouse. Smashing windows trying to break open doors. Triggered by officer hitting prisoner with baton,0,0,0,"Furniture, police",Public,Both,No,No,"Tame Street, Chorlton","Tame Street, Manchester, UK",53.479661,-2.217421,Work house,,Work house,Work house,No,Hours,01/12/1909,??,,1909-12,1909,December,Wednesday,No
1911 - July 1-6,Manchester,Economic,"Transport strike. Blocking lorries, stoning police escorts, attacking lorries, attacking police station where arrestees were being held, petling police with stones nd cabbages, stopping deliveries at the mills, goods taken and thrown in the river, throwing raspberries about the street, Processions with banners and placards, pickets outside docks and warehouses.",1,0,0,"Lorries, police, warehouses, stations",Public,Both,No,No,"Main roads and train stations (transport infrastructure).
Victoria Station, Liverpool Road, Swan Street, Oldham Road, New Quay street, Smithfield market, New Cross, Deansgate, Regents Road, Pendleton, Goulden Street, Ordsall Lane, Shudehill, Salford.","Victoria Station, Manchester, UK",53.4876223,-2.2415118,Tram depot,,Tram depots,"Workplaces (factory, workshops, docks etc)",Yes,Days,01/07/1911,From very early morning into evening,Y,1911-07,1911,July,Saturday,No
1912 - April 6,Manchester,Economic,Strike over but unrest in Pendlebury colliery. Police stoned and attacked. Coal looted. Lorry with coal attacked. Colliery office stoned. Fighting with police. Bands of miners marcing around towns spreading revolt against official union. Women fetching more missiles for attackers,0,0,1,"Coal heaps, coal office, police, lorry",Public,People,No,No,Pendlebury,"Pendlebury, Manchester, UK",53.50748,-2.315434,Colliery,,Colliery,"Workplaces (factory, workshops, docks etc)",Yes,Hours,06/04/1912,Night,N,1912-04,1912,April,Saturday,No
1915 - May 10-15,Manchester,Identity,"Anti-German riots. Looting, destruction of shops, attacks on homes above shops, also strikes and boycotts on Germans and German products, furnitur and clothes from houses taken and smashed up (modern orgy of looting and destruction), piano in street, shop windows smashed and stones thrown in upstairs rooms, pig carcasses carried to market place and cut up and distributed, ",1,0,0,German shops and homes,Both,Both,Yes,German,"All over Manchester and Salford.
Ashton Old Road, Oppenshaw, Abbey Hey Lane, Eccles New Road, Cross Lane, Chapel Street, Gortonm Ardwick, Hardy Street, Hyde Road, Stanley Street, Oldham Road, Pollard Street, Highton, Collyhurst, Chancery lane, Oxford Road, Rusholme road, greengate, Oldfield Road, Trafford hotel, Medlock and Moss Lane, City Road, Great Jackson street, Tatton Street, Stretford Road, Hyde Road, ","Ashton Old Road, Manchester, UK",53.4735368,-2.1830567,"Streets, shops, houses",,"Streets, shops, houses",Streets and fields,No,Days,10/05/1915,Night and day,Y,1915-05,1915,May,Monday,No
1919 - March 8,Manchester,Identity,"Race riot as black sailors rescue black man who had been arrested. Lots of unrest in that area. ""
The Chief Constable took prompt action. After ascertaining the attitude of the Watch Committee and the Home Office, he caused all the coloured people living in that part of the borough (62 in all) to be interviewed. He later reported that all of them with the exception of 17, wished to return to their native land, and that arrangements were being made accordingly."" reported cited in Jenkinson's PhD p. 135
Lots of small assaults and white men worrying about inter-racial sexual relations etc. Lots of talk of repatriation scheme and frustration that it was not moving ahead (inter-racial marriages were a stumbling block)",1,0,0,Police,Public,People,No,No,"Greengate, Salford","Greengate Salford, Manchester, UK",53.4870868,-2.2483456,Street,,Street,Streets and fields,No,Hours,08/03/1919,Night,N,1919-03,1919,March,Saturday,No
1919 - June,Manchester,Identity,Race riot as white crowd encirlce black man's house,0,0,0,White vs Black,Private,People,Yes,Black man,Salford,"Ravald Street, Salford, Manchester, UK",53.487782,-2.255358,House,,House,Home,No,Hours,NA,Night,N,1919-06,1919,June,NA,No
1921 - August 9,Manchester,Identity,Race riot as white and black soldiers fight at the shipping office,0,0,0,White vs Black,Public,People,No,No,"Salford, Sailor's home","Sailor's home Salford, Manchester, UK",53.471906,-2.282495,Shipping office,,Shipping office,"Workplaces (factory, workshops, docks etc)",No,Hours,09/08/1921,??,,1921-08,1921,August,Tuesday,No
1930 - March,Manchester,Political,Fighting police after arrest of communist speaker,0,0,0,Police,Public,People,No,No,"Aytoun Street, Picadilly","Aytoun Street, Manchester, UK",53.4776965,-2.2338952,Open air meeting,Employment Exchange,Open air meeting,Streets and fields,No,Hours,NA,Afternoon,Y,1930-03,1930,March,NA,No
1931 - October 7,Manchester,Economic,"Stone throwing leads to batton charge. Half hour battle between unemployed and the police. London Road. Stones and hammer-heads thrown and police pulled from their horses. Some demonstrators adopted Gandhi's tactics of sitting in the road but quickly stood up again. Many windows broken. Tramcar rushed and windows smashed, terrifying passengers. 5000 had assembled in Ardwick Green to march to Town Hall. Band playing, waving banners and collecting money. Deliberately refused to follow police's route. At Fairfield street the police lined up and attempted to stop them, told them that City Council was adjorned for the day, they tried to rush the police and had fire hose turned on them, tried Gandhi's tactic but no response, jumped up and tried to push through police again. Thousands of men congregated in All Saints Square. 4 police injured.",0,0,0,Police,Public,Both,No,No,Fairfield street,"Fairfield street, Manchester, UK",53.4759278,-2.2253229,Street (procession),,Street (procession),Streets and fields,No,Hours,07/10/1931,Afternoon,Y,1931-10,1931,October,Wednesday,No
1931 - November 10,Manchester,Economic,"Unemployed fighting the police. Stone throwing. Police pulled from their horses. Gandhi's tactic of sitting in the road. Tramcar rushed and windows smashed. Parading to Town Hall, band, banners begging money. ",0,0,0,Police,Public,Both,No,No,Ardiwck green to Town Hall march. London Road where fight broke out,"London Road, Manchester, UK",53.4763173,-2.2313337,Street,,Street,Streets and fields,No,Hours,10/11/1931,Afternoon,Y,1931-11,1931,November,Tuesday,No
1934 - November 25,Manchester,Political,Fascist meeting attacked. Crowd marched there from Stevenson Square with a drummer. Disturbances on way home as Fascists went through jewish quarter (Strangeways),0,0,0,Fascists,Public,Both,No (may beâ€¦),No,Free Trade Hall.,"Free Trade Hall, Manchester, UK",53.4778043,-2.247156,Meeting,Free Trade Hall,Meeting,Meeting hall,No,Hours,25/11/1934,Evening,N,1934-11,1934,November,Sunday,No
1936 - June 28,Manchester,Political,Fascist meeting attacked. Attempt to turn over fascist vans and set them on fire. Fighting with police. Missiles thrown. Trigger was police moving into crowd to try to stop blackshirts moving into the crowd.,0,0,0,Fascists and police,Public,Both,No,No,Hulme Town Hall and then Fascist Club on Tomlinson Street,"Hulme Town Hall, Manchester, UK",53.466876,-2.251553,Meeting,Hulme Town Hall,Meeting,Meeting hall,No,Hours,28/06/1936,Night,N,1936-06,1936,June,Sunday,No
1800 - October 20,Glasgow,Economic,Food riot. Took meal from cart and threw cart in bridge,0,0,0,Meal cart,Public,Both,No,No,Gallowgate. Old Bridge,"Gallowgate, Glasgow, UK",55.855687,-4.232771,Street,,Street,Streets and fields,No,Minutes,1800-10-20,Night,N,1800-10,1800,October,Monday,No
1812 - November,Glasgow,Economic,Striking weavers attacking those who were working at below stipulated rate,0,0,0,"Scabs
",Public,People,No,No,??,??,NA,NA,Workplace,,Workplace,"Workplaces (factory, workshops, docks etc)",Yes,??,NA,??,,1812-11,1812,November,NA,No
1816 - August 1 & 2,Glasgow,Economic,"Smashing windows, throwing stones, fighting soldiers, rescuing prisoners, attack workshop. Next day smash windows of steam loom factory.",1,0,0,"Soup Kitchen windows and staff, Soldiers, workshop, powerloom factory",Public,Both,No,No,"McKechnie Street, Calton, Tureen Street","Calton, Glasgow, UK",55.8546246,-4.2396777,Soup Kitchen,,Soup kitchen,Soup kitchen,Yes,Days,1816-08-01,"Afternoon 1pm, again at 4pm",Y,1816-08,1816,August,Thursday,No
1817 - January 6,Glasgow,Economic/Misc (Anti-police),Crowd rescue prisoners after peaceful demo to Parish minister's house,1,0,0,Police,Public,People,No,No (Parish minister's house visited peacefully),Gallowgate and High Street,"High Street, Glasgow, UK",55.8593215,-4.2410231,Street,,Street,Streets and fields,No,Minutes,1817-01-06,??,,1817-01,1817,January,Monday,No
1817 - September,Glasgow,Economic,Food riots. Price fixing. Window smashing,0,0,0,Market traders,Public,Both,No,No,"Calton Mouth, Gibson Street","Calton Mouth, Gallowgate, Glasgow, UK",55.855138,-4.224363,Street,,Street,Streets and fields,No,Weeks,NA,Day time,Y,1817-09,1817,September,NA,No
1819 - August,Glasgow,Economic,Strike violence. Webs detroyed on looms and shops broken into,0,0,0,Webs on looms,Public (where were looms),Property,No,No,Calton,"Calton, Glasgow, UK",55.8546246,-4.2396777,Shops/workshop,,Workshops,"Workplaces (factory, workshops, docks etc)",Yes,Hours,NA,Night,N,1819-08,1819,August,NA,No
1820 - April 1 to 8,Glasgow,Economic/Political,"General strike called by placard. Groups going round seizing pikes and guns. Threatening visits to mills which started working and workers generally left work. Mobs in street peaceful and gloomy. Intimidation by numbers not violence. Soldiers attacked with stones. Drilling at night. Attempted prisoner rescue. Rumours flying around, insufficient numbers when mobs assembled to start insurgency",0,0,1,Iron foundries and gun smiths. Private homes looking for weapons. Soldiers,Both,Both,Yes,??,"Paisley, Greenock, Gallowgate, Bridgeton, Dilmarnock Street, North Tobago Street, Calton, Pollockshaw, Anderston","Paisley, Glasgow, UK",55.847258,-4.440114,"Houses, shops, factories,",,"Houses, shops, factories,",Streets and fields,Yes,Weeks,1820-04-01,Many different times,Y,1820-04,1820,April,Saturday,No
1820 - June 28,Glasgow,Misc (Soldiers),"Soldiers get in fight with local lads. Stones thrown, windows broken, police arrive. 7-8pm",0,0,0,Soldiers,Public,Both,No,No,Trongate / Saltmarket,"Trongate (Saltmarket), Glasgow, UK",55.856735,-4.24386,Street,,Street,Streets and fields,No,Minutes,1820-06-28,Evening 7-8pm,N,1820-06,1820,June,Wednesday,No
1820 - November 14 & 15,Glasgow,Political,"Queen Caroline Bill dropped, enforced illuminations. Bonfires, tar barrels, parading, windows smashed, lamps and police boxes destroyed. Attacked police office and liberated prisoners (Gorballs). Tearing down railings",1,0,0,"Principal houses, police",Both,Both,Yes,"Principal housesâ€™, those without illuminations","George Square, Calton Place, George Street, Queen Street, Clyde Terrace, Adelphi Street, Great Clyde Street all targeted. Old Bridge, Stockwell Street. Glasgow Green and the suburbs","Carlton Place, Glasgow, UK",55.8542151,-4.2560461,Streets,,Street,Streets and fields,No,Days,1820-11-14,Evening 6pm,Y,1820-11,1820,November,Tuesday,No
1821 - April 23,Glasgow,Political,"Kings birthday disrupted. Tar barrel, bonfire, stoning cavalry and magistrates, sticks and stones at troops. 9pm",0,0,0,"Police, troops",Public,Both,No,No,Glasgow Green,"Glasgow Green, Glasgow, UK",55.8487031,-4.2350712,Street (procession),Glasgow Green,Street (procession),Streets and fields,No,Hours,1821-04-23,Evening 9pm,N,1821-04,1821,April,Monday,Kingâ€™s birthday
1821 - July 12,Glasgow,Identity,Orange parade attacked and sashes torn off. Shouting and hooting,0,0,0,Orange,Public,People,No,No,Prince's Street,"Prince's Street, Glasgow, UK",55.8300381,-4.2189136,Street (procession),,Street (procession),Streets and fields,No,Hours,1821-07-12,Parade starts at 12pm,Y,1821-07,1821,July,Thursday,12th July
1822 - February 16,Glasgow,Misc,Houses attacked by mob after rumour about them killing children. Destroyed everything inside the hosue and beat the occupants and attacked some gentlemen who tried to intervene,0,0,0,"Private houses, furniture, inhabitants",Private,Both,Yes,No,Clyde Stree,"Clyde Street, Glasgow, UK",55.8550224,-4.2522659,House,,House,Home,No,Hours,1822-02-16,4:00 pm,Y,1822-02,1822,February,Saturday,No
1822 - July 12,Glasgow,Identity,Orange parade attacked with stones and coal. Fighting. Police quickly ensure order. 10am,0,0,0,Orange,Public,People,No,No,King Street and Trongate,"King Street, Glasgow, UK",55.8559818,-4.2467992,Street (procession),,Street (procession),Streets and fields,No,Minutes,1822-07-12,Morning 10am,Y,1822-07,1822,July,Friday,12th July
1823 - September 9,Glasgow,Economic,"Attack on power-loom factory in Hutcheson Town. Crowd of several thousand there in the morning, throwing stones and hissing at the new workers. Police intervene and manage to keep peace. 7pm work stops, crowd again large, smash windows, workers armed with pistols manage to escape the building. Attempted assassination on manager of power-loom factory in Hutcheson town on Saturday at his home.",0,0,0,Factories and scabs,Public,People,Yes,Employer,Hutcheson Town,"Hutcheson Town, Glasgow, UK",55.8479057,-4.2459203,Factory,,Factory,"Workplaces (factory, workshops, docks etc)",Yes,Violence over days but riot over in hours. Also attempted assassination,1823-09-09,Morning and again in Evening 7-8pm,Y,1823-09,1823,September,Tuesday,No
1824 - July 28,Glasgow,Misc (Soldiers),Drunk soldiers riot and attack crowds. Police manage to separate them.,0,0,0,"Locals
",Public,People,No,No,Gallowgate,"Gallowgate, Glasgow, UK",55.855687,-4.232771,Street,,Street,Streets and fields,No,Hours,1824-07-28,Evening 8pm,N,1824-07,1824,July,Wednesday,No
1829 - February 21,Glasgow,Misc,"Mob mistake a woman for the wife of Burke. Police took her in. Then on her way back into the city she was attacked again! Crowd of several thousand shouting ""Burke!"" ""Hare!"". Mud and stones thrown. Police intervene.",0,0,0,"Wife of criminal
",Public,People,No,No,Bridgeton,"Bridgeton, Glasgow, UK",55.846439,-4.215995,Street,,Street,Streets and fields,No,Hours,1829-02-21,??,,1829-02,1829,February,Saturday,No
1830 - June 5 & 6,Glasgow,Misc (Sports),"Continual riot and fighting across the city for two days past between supporters of rival prize fighters. Sunday 9am Gallowgate: fight between three men, man beaten very severly. Sunday morning on the Green: Irish supporting Byrne chased by large crowd, 3am crowds of 500 in various 'rings' watching fights in the middle. 140 arrests",0,0,0,Rival fans,Public,People,No,No,"Gallowgate, Bridgegate, Glasgow Green","Gallowgate, Glasgow, UK",55.855687,-4.232771,"Streets, pubs",,"Streets, pubs",Streets and fields,No,Days,1830-06-05,Day time and all through the night,Y,1830-06,1830,June,Saturday,No
1842 - October,Glasgow,Misc (Anti-police),Riot at Bridgegate - attempt to rescue prisoner ( a thief). Also strike riots at surrounding towns,0,0,0,Police,Public,People,No,No,Bridgegate,"Bridgegate, Glasgow, UK",55.8548742,-4.2484796,Street,,Street,Streets and fields,No,Hours,NA,??,,1842-10,1842,October,NA,No
1844 - April 17,Glasgow,Misc (Anti-police),"Fight at bottom of Havanah Street, policeman intervenes in attacked. More police arrived and large crowd gathered (some joined in on side of police, others on side of people).",0,0,0,Police,Public,People,No,No,Havanah Street,"Havanah Street, Glasgow, UK",55.8588409,-4.2343482,Street,,Street,Streets and fields,No,Hours,1844-04-17,Afternoon 4pm,Y,1844-04,1844,April,Wednesday,No
1844 - August 8 & 9,Glasgow,Misc,Gang of blackguards on the Green tore down enclosures of the Highland and Agricultural Society show. Police arrived but were driven off by the mob.,0,0,0,Police and Society Show,Public,People,No,No,Glasgow Green (up John Street and into Bridgeton),"Glasgow Green (up John Street and into Bridgeton), Glasgow, UK",55.8487031,-4.2350712,Fete,,Fete,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours (over two days),1844-08-08,??,,1844-08,1844,August,Thursday,No
