name,type of protest,broad type,colour,description of place,type of place,date,day,time,address,place,latitude,longitude,attendance,source,links and further info
Dissenters meeting on Brum riots,,religious,prayer,Strafford's Arms,pub,01/09/1791,Thursday,,,Wakefield,53.683357,-1.498961,,DLONS/L1/2/1,
Wakefield PU quarterly meeting,,reform,grn_circle,"Union Room, Crown Court",court house,12/12/1833,Monday,,,Wakefield,53.683324,-1.500463,,VWR 14 Dec 1833,
meeting to raise subscription for the poor,,local government,large_yellow,Court House,court house,01/06/1812,Monday,,,Wakefield,53.683324,-1.500463,,LM 6 June 1812,
meeting to testify gratitude to late lord lieutenant for his services (i.e. fitzwilliam),,reform,grn_circle,Court House,court house,18/11/1819,Thursday,,,Wakefield,53.683324,-1.500463,,Yorks Gazette 13 Nov 1819,
loyal address to Queen Caroline,,radical,large_green,Court House,court house,03/07/1820,Monday,,,Wakefield,53.683324,-1.500463,,LM 8 July 1820,
abolition of slavery meeting,,abolition,open_diamond,Court House,court house,10/11/1830,Wednesday,12:00,,Wakefield,53.683324,-1.500463,,"Hargreaves, Slavery in Yorkshire, 58",
reform meeting,,reform,grn_circle,Court House,court house,09/02/1831,Wednesday,,,Wakefield,53.683324,-1.500463,,Times 19 Feb 1831,
reform meeting,,reform,grn_circle,Court House,court house,17/03/1831,Thursday,,,Wakefield,53.683324,-1.500463,,HHE 19 March 1831,
reform meeting,,reform,grn_circle,Court House,court house,02/05/1831,Monday,,,Wakefield,53.683324,-1.500463,,HHE 30 April 1831,
meeting on rejection of reform bill,,reform,grn_circle,Court House,court house,08/05/1832,Tuesday,18:00,,Wakefield,53.683324,-1.500463,,LM 12 April 1832,
meeting to petition to withhold supplies,,reform,grn_circle,Court House,court house,11/05/1832,Friday,18:00,,Wakefield,53.683324,-1.500463,,LM 15 May 1832,
Ashton and Bairstow lecture,,Chartist,large_green,Corn Market,market,24/06/1839,Monday,19:00,,Wakefield,"53.682451
",-1.499595,,NS 29 June 1839,
radical meeting to decide on whether to hold public meeting,,radical,large_green,Elephant and Castle,pub,12/07/1819,Monday,,,Wakefield,53.681123,-1.504226,,Morn Post 20 July 1819; Carlisle Patriot 21 July 1819,
reform meeting - Johnson from Manchester,,radical,large_green,bottom of Westgate,open space,20/01/1817,Monday,,Westgate,Wakefield,53.680012,-1.510061,,LM 25 Jan 1817,
anti-NPL,,ANPL,wht_pushpin,Butts,open space,01/05/1839,Saturday,,Butts,Rochdale,53.617267,-2.157464,,NS 4 May 1839,
on conduct of vicar about church rate,,local government,large_yellow,Butts,open space,25/07/1839,Thursday,,Butts,Rochdale,53.617267,-2.157464,,NS 27 July 1839,
memorial to queen to pardon Welsh Chartists,,Chartist,large_green,Butts,open space,10/02/1840,Monday,,Butts,Rochdale,53.617267,-2.157464,,NS 15 Feb 1840,
quarterly meeting of working men's assoc,,radical,large_green,"School room, Waterside",schoolroom,10/08/1839,Tuesday,,,Todmorden,53.709868,-2.102559,,HO 40/37/758,
free trade,,ACLA,large_purple,"School room, Brights' mill",schoolroom,01/07/1846,,19:00,,Rochdale,53.629024,-2.15552,,Mcr Times 11 July 1846,
radical lecture,,radical,large_green,"Association Schoolroom, Lower Place",schoolroom,13/01/1839,,,Lower Place,Rochdale,53.604502,-2.143771,,NS 19 Jan 1839,
Friends of Reform - creation of Rochdale reform assoc,,reform,grn_circle,"Clock Face, Blackwater St",pub,01/12/1834,,,Blackwater Street,Rochdale,53.617855,-2.160641,,"Bee, p.16.",
Radical Electors Association,,radical,large_green,"Clock Face, Blackwater St",pub,11/06/1840,Thursday,20:00,Blackwater Street,Rochdale,53.617855,-2.160641,,NS 6 June 1840,
joiners' club based at the pub,,trade union,pink_square,"Clock Face, Blackwater St",pub,01/12/1846,,,Blackwater Street,Rochdale,53.617855,-2.160641,,Mcr Times 26 Dec 1846,
loyal address to HM,,loyal,large_blue,Free Grammar School,schoolroom,27/12/1792,Thursday,,,Rochdale,53.614569,-2.156665,,MM 8 Jan 1793,
radical drilling,,radical,large_green,"Guide post, near the parish church",open space,08/08/1819,Sunday,01:00,,Rochdale,53.614162,-2.157679,200,"papers relating to the internal state, 17",
election hustings,,election,ltblu_circle,in front of Wellington Inn,open space,18/04/1837,Saturday,,,Rochdale,53.616946,-2.156574,,PC 22 April 1837,
Chartist meeting,,Chartist,large_green,"ground at back of Prim Meth chapel, Drake St",chapel,09/08/1839,Friday,,,Rochdale,53.615718,-2.15497,,"Charter, 18 Aug 1839",
Chartist meeting,,Chartist,large_green,Social Institution,radical/Chartist room,15/10/1839,Tuesday,,,Rochdale,53.61973,-2.154128,,NS 19 Oct 1839,
anniversary of radical society dinner,,radical,large_green,large room adjoining theatre,theatre,21/08/1838,Monday,19:00,Toad Lane,Rochdale,53.619253,-2.159379,,NS 25 Aug 1838,
defence fund meeting on arrest of Taylor,,Chartist,large_green,Theatre,theatre,12/07/1839,Friday,19:00,Toad Lane,Rochdale,53.619253,-2.159379,,NS 13 July 1839,
delegate meeting,,Chartist,pink_circle,Radical Association Rooms,radical/Chartist room,13/01/1839,,,,Rochdale,53.61973,-2.154235,,NS 19 Jan 1839,
Chartist lecture,,Chartist,pink_circle,"Association Room, Yorkshire Street",radical/Chartist room,06/02/1842,Sunday,14:30,,Rochdale,53.61973,-2.154235,,NS 5 Feb 1842,
Chartist lecture,,Chartist,pink_circle,"Association Room, Yorkshire Street",radical/Chartist room,06/02/1842,Sunday,18:00,,Rochdale,53.61973,-2.154235,,NS 5 Feb 1842,
democratic festival in celebration of Hunt,,Chartist,pink_circle,Association Room,radical/Chartist room,07/11/1842,Monday,00:00,,Rochdale,53.61973,-2.154235,300,NS 12 Nov 1842,
meeting,,Chartist,pink_circle,"Chartist room, Yorkshire St",radical/Chartist room,02/04/1848,Sunday,,Yorkshire Street,Rochdale,53.61973,-2.154235,,NS 8 April 1848,
elect committee for raising national testimonial to Duncombe,,Chartist,pink_circle,"Chartist Association Room, Mill St [Whitworth?]",radical/Chartist room,04/08/1844,Sunday,14:00,Mill Street,Rochdale,53.620187,-2.15736,,NS 3 Aug 1844,
Chartist meeting on Welsh Chartists,,Chartist,pink_circle,"Chartist Association Room, Mill St [Whitworth?]",radical/Chartist room,10/12/1839,Tuesday,,Mill Street,Rochdale,53.620187,-2.15736,,NS 14 Dec 1839,
opening tea party and concert,,radical,large_green,"Public Hall, Baillie St",radical/Chartist room,18/09/1844,Wednesday,,Baillie Street,Rochdale,53.618076,-2.15527,,Mcr Times 21 Sep 1844,
anti-NPL meeting,,ANPL,wht_pushpin,"Public Hall, Baillie St",radical/Chartist room,09/01/1845,Thursday,19:00,Baillie Street,Rochdale,53.618076,-2.15527,2500,Times 11 Jan 1845,
public meeting of various trades to join general protective trades association,,ACLA,large_purple,Public Hall,radical/Chartist room,15/04/1845,Tuesday,,Baillie Street,Rochdale,53.618076,-2.15527,,Preston Guardian 19 April 1845,
meeting to raise money for suffering in Quebec,,other,,Public Hall,radical/Chartist room,15/08/1845,Thursday,,Baillie Street,Rochdale,53.618076,-2.15527,,Mcr Times 16 Aug 1845,
operative meeting petition for 10 hours,,10 hours,pink_square,Public Hall,radical/Chartist room,12/12/1845,Thursday,,Baillie Street,Rochdale,53.618076,-2.15527,,Mcr Times 13 Dec 1845,
formation of branch of National Trades Union association,,trade union,pink_square,Public Hall,radical/Chartist room,22/01/1847,Friday,,Baillie Street,Rochdale,53.618076,-2.15527,,Mcr times 29 Jan 1847,
reform meeting on reducing national expenditure,,reform,grn_circle,Public Hall,radical/Chartist room,25/05/1848,Thursday,19:00,Baillie Street,Rochdale,53.618076,-2.15527,,Daily News 27 May 1848,
anti-slavery meeting,,abolition,open_diamond,Public Hall,radical/Chartist room,10/11/1846,Tuesday,,Baillie Street,Rochdale,53.618076,-2.15527,,Mcr Times 13 Nov 1846,
public meeting to abolish church rates,,religious,prayer,Baptist schoolroom,schoolroom,10/01/1837,Tuesday,,West Street,Rochdale,53.620319,-2.150421,,Mcr Times 14 Jan 1837,
large Chartist meeting against proclamation,,Chartist,pink_circle,Henry Square,square,20/04/1839,Saturday,,Henry Square,Ashton-u-Lyne,53.48515,-2.101921,,NS 11 April 1840,
meeting before procession to mee McDouall,,Chartist,pink_circle,Henry Square,square,22/08/1840,Saturday,,Henry Square,Ashton-u-Lyne,53.48515,-2.101921,,NS 29 Aug 1840,
turnouts meeting,,trade union,pink_square,Henry Square,square,13/08/1843,Monday,,Henry Square,Ashton-u-Lyne,53.48515,-2.101921,,Liv Merc 18 Aug 1843,
on Glasgow cotton spinners,,trade union,pink_square,"meeting room, Charlestown",radical/Chartist room,02/02/1838,Friday,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 17 Feb 1838,
"usual weekly meeting, collection for National Rent",,Chartist,pink_circle,"meeting room, Charlestown",radical/Chartist room,24/02/1839,,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 9 March 1839,
memorial to Queen to release Welsh Chartists,,Chartist,pink_circle,"Large Meeting room, Charlestown",radical/Chartist room,10/02/1840,Monday,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 15 Feb 1840,
delegate meeting,,Chartist,pink_circle,"Chartist room, Charlestown",radical/Chartist room,26/06/1842,Sunday,10:00,,Ashton-u-Lyne,53.490825,-2.096704,,NS 18 June 1842,
Stephens defence fund,,Chartist,pink_circle,"Great Room, Charlestown",radical/Chartist room,04/07/1839,Thursday,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 13 July 1839,
meeting,,Chartist,pink_circle,"meeting room, Charlestown",radical/Chartist room,12/08/1842,Friday,,,Ashton-u-Lyne,53.490825,-2.096704,,"trial of Feargus O'Connor, p.13",
meeting on Rev Stephens,,Chartist,pink_circle,"Mr Stephens's chapel, Charlestown",chapel,26/02/1839,Tuesday,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 2 March 1839,
meeting on Stephens' charges against McDouall,,Chartist,pink_circle,"Mr Stephens's chapel, Charlestown",chapel,25/06/1839,Tuesday,,,Ashton-u-Lyne,53.490825,-2.096704,,MC 1 July 1839,
juvenile association lecture,,Chartist,pink_circle,radical association room,radical/Chartist room,06/07/1839,Sunday,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 13 July 1839,
usual Chartist meeting,,Chartist,pink_circle,"their room, Catharine St",radical/Chartist room,24/10/1841,Sunday,,,Ashton-u-Lyne,53.537166,-2.073973,,NS 30 Oct 1841,
meeting place for radicals and where Stephens was before his arrest,,radical,large_green,"Bush pub, Stamford Street",pub,01/12/1838,,,,Ashton-u-Lyne,53.487326,-2.093397,,BO 3 Jan 1839,
loyal meeting and address,,loyal,large_blue,town hall,town hall,01/01/1793,,,,Ashton-u-Lyne,53.48845,-2.089696,,MM 8 Jan 1793,
jubilee address read,,patriotic,blu_circle,town hall,town hall,25/10/1809,,,,Ashton-u-Lyne,53.48845,-2.089696,,"Jubilee jottings, 13",
reform,,reform,grn_circle,town hall,town hall,09/03/1831,Wednesday,,,Ashton-u-Lyne,53.48845,-2.089696,,Mcr Times 12 March 1831; D-BUT 1/3/1,
reform,,reform,grn_circle,town hall,town hall,22/04/1831,Friday,,,Ashton-u-Lyne,53.48845,-2.089696,,D-BUT/F/4,
spinners' strike,,trade union,pink_square,town square [market place?],market,13/12/1830,,,,Ashton-u-Lyne,53.489512,-2.092075,,"Steinberg, 219",
weavers and spinners' strike,,trade union,pink_square,market place,market,30/08/1818,,,,Ashton-u-Lyne,53.489512,-2.092075,,"Aspinall, 282; HO 42/180/32",
meeting to boycott Coronation procession,,Chartist,pink_circle,market place,market,28/06/1838,,,,Ashton-u-Lyne,53.489512,-2.092075,,MSA 30 June 1838,
Chartist,,Chartist,pink_circle,market place,market,23/12/1838,Saturday,,,Ashton-u-Lyne,53.489512,-2.092075,,LM 5 Jan 1839,
Stephens sermon,,Chartist,pink_circle,market place,market,03/03/1839,Sunday,,,Ashton-u-Lyne,53.489512,-2.092075,,NS 9 March 1839,
Chartists,,Chartist,pink_circle,market place,market,20/04/1839,Saturday,19:00,,Ashton-u-Lyne,53.489512,-2.092075,,HO 40/37/300,
election meeting followed by riot,,election,ltblu_circle,market place,market,01/07/1841,Thursday,,,Ashton-u-Lyne,53.489512,-2.092075,,PL 27/11,
plug strikes,,trade union,pink_square,market place,market,07/08/1842,Sunday,,,Ashton-u-Lyne,53.489512,-2.092075,,MG 21 Sep 1842,
plug strikes,,trade union,pink_square,waste ground behind Thacker's foundry,open space,08/08/1842,Monday,,Bentinck Street,Ashton-u-Lyne,53.483544,-2.098161,,,
plug strikes meeting,,trade union,pink_square,waste ground behind Thacker's foundry,open space,14/08/1842,Sunday,,Bentinck Street,Ashton-u-Lyne,53.483544,-2.098161,,"Trial of Feargus O'Connor, p.14",
tea party of members,,education,library,Mechanics Institute,institution,24/04/1848,Thursday,,Warrington Street,Ashton-u-Lyne,53.486843,-2.092751,,MG 26 April 1848,
celebration of Hunt's birthday,,radical,large_green,"Flash Hall, Mr John Higson's",house,06/11/1820,Monday,,,Ashton-u-Lyne,53.487718,-2.096227,,MO 18 Nov 1820,
celebration of French Rev,,reform,grn_circle,"Assembly Room, Commercial Inn",assembly room,10/09/1830,Friday,,Old Street,Ashton-u-Lyne,53.487939,-2.095323,,Mcr Times 18 Sep 1830,
election meeting,,election,ltblu_circle,"Assembly Room, Commercial Inn",assembly room,01/05/1841,Sunday,,Old Street,Ashton-u-Lyne,53.487939,-2.095323,,L322:X62,
birthday of Paine,,radical,large_green,house of John Higson,pub,29/01/1821,Monday,,,Ashton-u-Lyne,53.495952,-2.098008,,MO 3 Feb 1821,
birthday of Paine,,radical,large_green,"house of John Clayton, Charlestown",pub,29/01/1821,Monday,,,Ashton-u-Lyne,53.495952,-2.098008,,MO 3 Feb 1821,
radical meeting; rev harrison speaking,,radical,large_green,Hurst,,14/06/1819,Monday,,,Ashton-u-Lyne,53.500535,-2.075963,,Morn Post 22 June 1819,
chartist camp meeting,,Chartist,pink_circle,"Hurst Green, AuL",open space,19/04/1848,Sunday,,,Ashton-u-Lyne,53.505593,-2.07235,,NS 22 April 1848,
reform meeting,,radical,large_green,"Seven Stars, Hurst",pub,15/05/1818,,,Hillgate Street,Ashton-u-Lyne,53.492564,-2.087487,,MO 9 May 1818,
Jubilee dinner for 60 gents,,patriotic,blu_circle,Globe Inn,pub,25/10/1809,,,Stamford Street,Ashton-u-Lyne,53.486997,-2.093909,,"Account of celebration of the jubilee, 94",
dinner after opening of market,,local government,large_yellow,Globe Inn,pub,04/07/1829,Saturday,,,Ashton-u-Lyne,53.486997,-2.093909,,Mcr times 11 July 1829,
dinner to celebrate Victoria accession,,patriotic,blu_circle,Globe Inn,pub,24/06/1837,Saturday,,,Ashton-u-Lyne,53.486997,-2.093909,,Mcr Times 1 July 1837,
dinner for McDouall,,Chartist,pink_circle,Charlestown meeting room,radical/Chartist room,22/08/1840,Saturday,,,Ashton-u-Lyne,53.490825,-2.096704,,NS 29 August 1840,
procession to meet McDouall,,Chartist,pink_circle,Snipe Tavern,pub,22/08/1840,Saturday,,Manchester Road,Ashton-u-Lyne,53.484616,-2.105049,,NS 29 August 1840,
anniversary birthday of Hunt,,Chartist,pink_circle,house of Mr Walker,chapel,12/11/1839,Tuesday,,,Ashton-u-Lyne,53.486395,-2.085289,,NS 16 Nov 1839,
general meeting,,radical,large_green,"Radical Association, Fleet St",radical/Chartist room,22/06/1839,Sunday,,Fleet Street,Ashton-u-Lyne,53.486171,-2.096272,,NS 29 June 1839,
general meeting of juvenile radical association,,radical,large_green,"Juvenile Radical Association, Cricket's Lane",radical/Chartist room,22/06/1839,Sunday,,,Ashton-u-Lyne,53.486171,-2.096272,,NS 29 June 1839,
meeting of political unions to pass resolutions for reform,,radical,large_green,Political Union Rooms,radical/Chartist room,26/09/1832,Wednesday,,,Ashton-u-Lyne,53.486171,-2.096272,,,
riots,,trade union,pink_square,market place,market,16/08/1842,,,,Bolton,53.578389,-2.429819,,PL 27/11,
Paine burning,,loyal,large_blue,market place,market,10/01/1793,Thursday,,,Bolton,53.579638,-2.426814,,MM 15 Jan 1793,
volunteer corps muster,,patriotic,blu_circle,market place,market,08/03/1796,,,,Bolton,53.579638,-2.426814,,"Price thesis, 63",
weavers' strike gathering,,trade union,pink_square,market place,market,06/06/1808,Monday,,,Bolton,53.579638,-2.426814,,Holden diaries,
food riot,,riot,target,market place,market,20/04/1812,Monday,,,Bolton,53.579638,-2.426814,,Holden diaries,
HM's birthday procession to Bradford SQ,,patriotic,blu_circle,market place,market,28/05/1831,Saturday,,,Bolton,53.578389,-2.429819,,"Bolton Chronicle, 14 May 1831",
torchlight meeting,,Chartist,pink_circle,market place,market,30/10/1838,Tuesday,,,Bolton,53.578389,-2.429819,,HO 40/38/241,
apply to Home Secy for 6000 arms,,local government,large_yellow,market place,market,05/06/1839,Wednesday,,,Bolton,53.578389,-2.429819,,Ho 40/37/544,
election hustings,,election,ltblu_circle,new market place,market,24/07/1837,Monday,,,Bolton,53.578389,-2.429819,,,
working men's association elect delegate to convention,,Chartist,pink_circle,new market place,market,20/06/1839,Thursday,,,Bolton,53.578389,-2.429819,,Charter 30 June 1839,
Chartist meeting,,Chartist,pink_circle,new market place,market,12/08/1839,Monday,,,Bolton,53.578389,-2.429819,,Blackburn Standard 21 Aug 1839; NS 17 Aug 1839,
Chartist meeting,,Chartist,pink_circle,new market place,market,13/08/1839,Tuesday,,,Bolton,53.578389,-2.429819,,Blackburn Standard 21 Aug 1839,
public meeting of delegates,,Chartist,pink_circle,new market place,market,10/08/1842,Wednesday,,,Bolton,53.578389,-2.429819,,"Jenkins, General Strike, p.91; Bolton Chronicle, 13 August 1842",
public meeting to elect delegate to Convention,,Chartist,pink_circle,open space of ground near the marketplace,open space,13/04/1839,Saturday,,,Bolton,53.57737,-2.428756,,NS 20 April 1839,
corn laws,,ACLA,large_purple,Nelson square,square,01/02/1826,Monday,,,Bolton,53.577496,-2.427212,,HO 44/16/20,
operative conservative assoc annual dinner,,loyal,large_blue,Nelson square,square,13/09/1838,,,,Bolton,53.577496,-2.427212,,ZZ 530/3; Standard 15 Sep 1838,
Chartists,,Chartist,pink_circle,Nelson square,square,13/08/1839,,,,Bolton,53.577496,-2.427212,,Blackburn Standard 21 Aug 1839,
distress,,local government,large_yellow,Sessions Room,court house,25/09/1816,Wednesday,,Bowker Lane,Bolton,53.577967,-2.427418,,HO 40/3/part 6/1; ZZ 130/13/7,
organisation of coronation celebration,,patriotic,blu_circle,Sessions Room,court house,02/07/1821,Wednesday,,Bowker Lane,Bolton,53.577967,-2.427418,,ZZ/130/12/2,
meeting of landowners and leypayers on distress of handloom weavers,,local government,large_yellow,Sessions Room,court house,05/05/1826,Friday,,Bowker Lane,Bolton,53.577967,-2.427418,,Bee; ZZ 130/13/24,
friends of Marshall Williams candidate,,election,ltblu_circle,Sessions Room,court house,29/08/1831,Monday,,Bowker Lane,Bolton,53.577967,-2.427418,,Mcr Times 3 Sep 1831,
Orange societies service,,loyal,large_blue,church,church,21/10/1817,Tuesday,,Bowker Lane,Bolton,53.579421,-2.423639,,Holden diaries,
ACLA,,ACLA,large_purple,"town hall, little Bolton",town hall,03/11/1840,Tuesday,,,Little Bolton,53.582543,-2.427611,,MG 7 Nov 1840,
lecture by Mr Leech on trade unions and chartism,,Chartist,pink_circle,town hall,town hall,15/02/1841,Monday,,,Bolton,53.582543,-2.427611,,NS 20 Feb 1841,
meeting of manufacturers on distress of handloom weavers,,local government,large_yellow,Queen Ann Inn,pub,28/04/1826,Friday,,Chancery Lane,Bolton,53.578744,-2.428255,,ZZ 130/13/23,
General Union of Trades,,trade union,pink_square,"Queen Anne, Chancery Lane",pub,16/11/1829,Monday,,Chancery Lane,Bolton,53.578744,-2.428255,,MG 21 Nov 1829,
meeting on the truck system,,trade union,pink_square,Queen Anne assembly rooms,assembly room,23/03/1832,,,Chancery Lane,Bolton,53.578744,-2.428255,,Mcr Courier 24 March 1832,
union committee meeting,,trade union,pink_square,"Wheatsheaf, Windy Bank/Bank St",pub,13/10/1831,Monday,,Windy Bank,Bolton,53.580126,-2.426479,,MG 22 Oct 1831,
meeting of shopkeepers against truck system,,local government,large_yellow,Bradford Square,square,02/12/1828,Tuesday,,,Bolton,53.574287,-2.425012,,Mcr Times 5 Dec 1828,
meeting on prices of milk and butter,,local government,large_yellow,Bradford Square,square,29/06/1829,Monday,,,Bolton,53.574287,-2.425012,,Mcr Times 4 July 1829,
coronation pageant,,patriotic,blu_circle,Bradford Square,square,08/09/1831,,,,Bolton,53.574287,-2.425012,,Mcr Times 3 Sep 1831,
planned reform meeting,,reform,grn_circle,Bradford Square,square,20/10/1831,Monday,,,Bolton,53.574287,-2.425012,,MG 22 Oct 1831,
Bolton PU reform meeting,,reform,grn_circle,Bradford Square,square,29/12/1831,,,,Bolton,53.574287,-2.425012,,"Walsh, 63",
on dissolution of Grey ministry,,reform,grn_circle,Bradford Square,square,12/05/1832,,,,Bolton,53.574287,-2.425012,,The Times 16 May 1832,
Caroline procession,,radical,large_green,near Britannia Inn,open space,13/11/1820,Monday,,,Bolton,53.574586,-2.435176,,MO 18 Nov 1820,
Caroline riot,,radical,large_green,Commercial Inn,pub,12/11/1820,Monday,,,Bolton,53.578897,-2.429666,,MO 18 Nov 1820,
public meeting,,radical,large_green,Commercial Inn,pub,01/10/1819,,,,Bolton,53.578897,-2.429666,,ZZ/130/13/10,
public dinner for HM birthday,,patriotic,blu_circle,Commercial Inn,pub,28/05/1831,Saturday,,,Bolton,53.578897,-2.429666,,"Bolton Chronicle, 14 May 1831",
celebration of HM birthday,,patriotic,blu_circle,Commercial Inn,pub,24/05/1839,Friday,,,Bolton,53.578897,-2.429666,,ZHE/35/52,
meeting to organise coronation celebration,,patriotic,blu_circle,Bridge Inn,pub,11/07/1821,,,,Bolton,53.580663,-2.428756,,ZZ/130/12/4,
Church and King Club 33rd anniversary,,loyal,large_blue,Bridge Inn,pub,03/03/1823,Monday,,,Bolton,53.580663,-2.428756,,DP 282/16,
Pitt Club anniversary,,loyal,large_blue,Bridge Inn,pub,28/05/1817,Wednesday,,,Bolton,53.580663,-2.428756,,Pitt Club pamphlet,
annual meeting of Lord Nelson Club,,loyal,large_blue,"Ship Inn, Bradshawgate",pub,02/08/1823,Sunday,,Bradshawgate,Bolton,53.578894,-2.426939,,ZZ/130/9/1,
C and K club dinner,,loyal,large_blue,Old Assembly Room,assembly room,08/03/1796,,,,Bolton,53.578897,-2.429666,,"Price thesis, 63",
meeting of m and ms against EI monopoly,,commercial,large_purple,Old Assembly Rooms,assembly room,10/02/1813,Wednesday,,,Bolton,53.578897,-2.429666,,ZZ 530/2,
weavers' celebration of peace,,patriotic,blu_circle,Union Buildings,radical/Chartist room,01/04/1814,Monday,,,Bolton,53.576148,-2.425674,,ZZ 530/2,
Hunt's birthday dinner,,radical,large_green,"Union Buildings, Bradshawgate",radical/Chartist room,06/11/1820,Monday,,Bradshawgate,Bolton,53.576148,-2.425674,,To the Radical Reformers 17,
handloom weavers' committee,,trade union,pink_square,Union Room,radical/Chartist room,15/01/1834,Wednesday,,,Bolton,53.576148,-2.425674,,Preston Chronicle 25 Jan 1834,
printers' delegate meeting,,trade union,pink_square,"the Man and the Scythe, Church St",pub,01/01/1816,Monday,,Church Street,Bolton,53.57955,-2.426324,,ZZ 530/2,
visit of Henry Hunt,,radical,large_green,Swan Hotel,inn/hotel,08/04/1831,Thursday,,,Bolton,53.579506,-2.426686,,"Bolton Chronicle, 9 April 1831",
Hunt address from window,,radical,large_green,Swan Hotel,inn/hotel,02/05/1831,Monday,,,Bolton,53.579506,-2.426686,,"Bolton Chronicle, 7 May 1831",
Pitt Club,,loyal,large_blue,Swan Inn,inn/hotel,17/05/1813,Monday,,,Bolton,53.579506,-2.426686,,At a general meeting pamphlet,
Hunt address from window,,radical,large_green,Swan Inn,inn/hotel,29/08/1819,Monday,,,Bolton,53.579506,-2.426686,,Morning Post 2 Sep 1819,
meeting of friends of William Bolling to select him as candidate,,election,ltblu_circle,Swan Inn,inn/hotel,18/06/1832,Monday,,,Bolton,53.579506,-2.426686,,Mrc times 23 June 1832,
Thomas Smith election address,,election,ltblu_circle,Swan Inn,inn/hotel,23/07/1832,Monday,,,Bolton,53.579506,-2.426686,,Preston Chronicle 4 Aug 1832,
Hunt address from window,,radical,large_green,Swan Inn,inn/hotel,22/12/1832,Saturday,,,Bolton,53.579506,-2.426686,,PMG 29 Dec 1832,
Court Leet,,local government,large_yellow,Swan Inn,inn/hotel,01/01/1835,,,,Bolton,53.579506,-2.426686,,ZZ 530/2,
Bolton PU,,reform,grn_circle,Theatre,theatre,19/10/1835,Tuesday,,Mawdsley Street,Bolton,53.578002,-2.428732,,Mcr Times 23 Oct 1830; York Herald 30 Oct 1830,
reform meeting,,reform,grn_circle,Theatre,theatre,15/03/1831,Wednesday,,Mawdsley Street,Bolton,53.578002,-2.428732,,"Bolton Chronicle, 19 March 1831",
Chartist meeting,,Chartist,pink_circle,Theatre,theatre,06/06/1839,,,Mawdsley Street,Bolton,53.578002,-2.428732,,ZZ 530/3,
trades union meeting,,trade union,pink_square,"Prince William, Bradshawgate",pub,07/03/1831,Tuesday,,Bradshawgate,Bolton,53.575301,-2.424478,,"Bolton Chronicle, 12 March 1831",
trades union meeting,,trade union,pink_square,"Prince William, Bradshawgate",pub,28/03/1831,Tuesday,,Bradshawgate,Bolton,53.575301,-2.424478,,"Bolton Chronicle, 2 April 1831",
dinner for supporters of Robt Heywood,,election,ltblu_circle,"Higher Hen and Chickens, Deansgate",pub,12/05/1831,Thursday,,Deansgate,Bolton,53.578817,-2.433222,,"Bolton Chronicle, 14 May 1831",
Lancashire short time committee meeting,,10 hours,pink_square,"Temperance Hotel, Newport St",temperance hotel,02/03/1841,Sunday,,Newport Street,Bolton,53.577161,-2.429097,,DB/CB/27/C1/5/2,
Lancashire short time committee meeting,,10 hours,pink_square,"Temperance Hotel, Newport St",temperance hotel,04/09/1845,Thursday,,Newport Street,Bolton,53.577161,-2.429097,,DB/CB/27/28/1,
meeting supporting proclamation against seditous writings,,loyal,large_blue,Free Grammar School,schoolroom,13/12/1792,Thursday,,,Bolton,53.578948,-2.422703,,MM 11 Dec 1792,
loyal association,,loyal,large_blue,Nag's Head,pub,01/12/1792,Thursday,,,Bolton,53.579725,-2.428877,,MM 25 Dec 1792,
bleachers against fustian tax,,commercial,pink_stars,"Three Crowns, Deansgate",pub,03/11/1784,,,Deansgate,Bolton,53.579537,-2.42738,,diary of Capt Dewhurst,
reform meeting; Hampden club,,radical,large_green,"Talbot, or sign of the Dog, Brown St, Little Bolton",pub,16/11/1816,Saturday,,Brown Street,Bolton,53.580824,-2.425256,,"EPT, 676; Davis Lancashire reformers, 64",
coronation dinner,,patriotic,blu_circle,Cloth Hall,exchange,22/07/1821,,,,Bolton,53.57803,-2.429054,,Liv Merc 27 July 1821,
coronation ball,,patriotic,blu_circle,Assembly Room,assembly room,22/07/1821,,,,Bolton,53.578897,-2.429666,,Liv Merc 27 July 1821,
Bolton reformers club meeting,,reform,grn_circle,"Old Bull's Head, Bradshawgate",pub,23/11/1816,Saturday,,Bradshawgate,Bolton,53.576335,-2.425741,,"Davis, Lancashire reformers, 65",
delegate meetings on the 10 hours  factory bill,,10 hours,pink_square,"Crown & Anchor, Port Street",pub,29/04/1833,Monday,,Port Street,Manchester,53.481861,-2.231838,,"Preston Chronicle, 4 May 1833",
delegate meetings on the 10 hours  factory bill,,10 hours,pink_square,"Crown & Anchor, Port Street",pub,30/04/1833,Tuesday,,Port Street,Manchester,53.481861,-2.231838,,"Preston Chronicle, 4 May 1833",
delegate meetings on the 10 hours  factory bill,,10 hours,pink_square,"Crown & Anchor, Port Street",pub,01/05/1833,Wednesday,,Port Street,Manchester,53.481861,-2.231838,,"Preston Chronicle, 4 May 1833",
